,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,rounds,solvers
141,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159,2.0,5.0
142,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.4805194805194805,0.502896599458671,77,0.368191123226633,0.5928478378123281,2.0,7.0
143,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.5064935064935064,0.5032362797401965,77,0.3940892772856975,0.6188977357013155,3.0,3.0
144,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.4805194805194805,0.5028965994586712,77,0.36819112322663294,0.5928478378123281,3.0,5.0
145,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.4675324675324675,0.5022165496554036,77,0.3553560080201192,0.5797089270448159,3.0,7.0
161,FANToM,BeliefQ_Choice_First_Order,Mixed-A MAD R3 S7,MAD,Mixed,0.35064935064935066,0.4803023654629546,77,0.24336770314090211,0.4579309981577992,3.0,7.0
163,FANToM,BeliefQ_Choice_First_Order,Mixed-B MAD R3 S7,MAD,Mixed,0.35064935064935066,0.48030236546295463,77,0.2433677031409021,0.45793099815779925,3.0,7.0
167,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,1.0,3.0
168,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.46153846153846156,0.5083911274417939,26,0.2661192035557015,0.6569577195212216,1.0,5.0
169,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,1.0,7.0
170,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.5,0.5099019513592784,26,0.30400000000000005,0.696,2.0,3.0
171,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.5,0.5099019513592784,26,0.30400000000000005,0.696,2.0,5.0
172,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,2.0,7.0
173,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.5384615384615384,0.5083911274417939,26,0.3430422804787784,0.7338807964442985,3.0,3.0
174,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.46153846153846156,0.5083911274417939,26,0.2661192035557015,0.6569577195212216,3.0,5.0
175,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.5384615384615384,0.5083911274417939,26,0.3430422804787784,0.7338807964442985,3.0,7.0
192,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,1.0,3.0
193,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,1.0,5.0
194,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.38461538461538464,0.4961389383568337,26,0.1939057164944609,0.5753250527363084,1.0,7.0
195,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,2.0,3.0
196,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.5384615384615384,0.508391127441794,26,0.3430422804787783,0.7338807964442986,2.0,5.0
197,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,2.0,7.0
198,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.46153846153846156,0.508391127441794,26,0.26611920355570146,0.6569577195212217,3.0,3.0
199,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.5,0.5099019513592785,26,0.30399999999999994,0.6960000000000001,3.0,5.0
200,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,3.0,7.0
216,FANToM,BeliefQ_Choice_Second_Order_Acyclic,Mixed-A MAD R3 S7,MAD,Mixed,0.5769230769230769,0.5038314736557788,26,0.3832564934293565,0.7705896604167972,3.0,7.0
218,FANToM,BeliefQ_Choice_Second_Order_Acyclic,Mixed-B MAD R3 S7,MAD,Mixed,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,3.0,7.0
222,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,1.0,3.0
223,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,1.0,5.0
224,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.48148148148148145,0.5091750772173156,27,0.28941953445605195,0.673543428506911,1.0,7.0
225,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,2.0,3.0
226,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.5555555555555556,0.5063696835418334,27,0.36455180912869145,0.7465593019824197,2.0,5.0
227,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.5555555555555556,0.5063696835418334,27,0.36455180912869145,0.7465593019824197,2.0,7.0
228,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,3.0,3.0
229,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.6296296296296297,0.4921028776234113,27,0.4440073534379172,0.8152519058213421,3.0,5.0
230,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.5555555555555556,0.5063696835418334,27,0.36455180912869145,0.7465593019824197,3.0,7.0
247,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,1.0,3.0
248,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,1.0,5.0
249,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,1.0,7.0
250,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,2.0,3.0
251,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.5555555555555556,0.5063696835418334,27,0.36455180912869145,0.7465593019824197,2.0,5.0
252,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.5555555555555556,0.5063696835418333,27,0.36455180912869145,0.7465593019824197,2.0,7.0
253,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.4444444444444444,0.5063696835418333,27,0.2534406980175803,0.6354481908713085,3.0,3.0
254,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.48148148148148145,0.5091750772173156,27,0.28941953445605195,0.673543428506911,3.0,5.0
255,FANToM,BeliefQ_Choice_Second_Order_Cyclic,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.5185185185185185,0.5091750772173156,27,0.32645657149308893,0.710580465543948,3.0,7.0
271,FANToM,BeliefQ_Choice_Second_Order_Cyclic,Mixed-A MAD R3 S7,MAD,Mixed,0.6296296296296297,0.4921028776234113,27,0.4440073534379172,0.8152519058213421,3.0,7.0
273,FANToM,BeliefQ_Choice_Second_Order_Cyclic,Mixed-B MAD R3 S7,MAD,Mixed,0.4074074074074074,0.5007117441325405,27,0.21853784803667226,0.5962769667781425,3.0,7.0
277,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R1 S3,MAD,<Rc3kmmq>,0.06493506493506493,0.24802707501094023,77,0.009535060381209493,0.12033506948892037,1.0,3.0
278,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R1 S5,MAD,<Rc3kmmq>,0.07792207792207792,0.26980664452011627,77,0.01765732926745791,0.13818682657669792,1.0,5.0
279,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R1 S7,MAD,<Rc3kmmq>,0.06493506493506493,0.2480270750109402,77,0.0095350603812095,0.12033506948892037,1.0,7.0
280,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R2 S3,MAD,<Rc3kmmq>,0.1038961038961039,0.3071265633345206,77,0.03529547629691174,0.17249673149529607,2.0,3.0
281,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R2 S5,MAD,<Rc3kmmq>,0.11688311688311688,0.3233877407933399,77,0.04465034829597048,0.18911588547026328,2.0,5.0
282,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R2 S7,MAD,<Rc3kmmq>,0.12987012987012986,0.33836485099003605,77,0.05429203306402201,0.2054482266762377,2.0,7.0
283,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R3 S3,MAD,<Rc3kmmq>,0.07792207792207792,0.26980664452011627,77,0.01765732926745791,0.13818682657669792,3.0,3.0
284,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R3 S5,MAD,<Rc3kmmq>,0.09090909090909091,0.28936492084609694,77,0.026275752262926236,0.1555424295552556,3.0,5.0
285,FANToM,BeliefQ_Dist_First_Order,<Rc3kmmq> MAD R3 S7,MAD,<Rc3kmmq>,0.11688311688311688,0.3233877407933399,77,0.04465034829597048,0.18911588547026328,3.0,7.0
