,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,layers,workers
127,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.22077922077922077,0.4174917781534154,77,0.12752711751639667,0.31403132404204487,3.0,5.0
128,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.2077922077922078,0.4083877909943188,77,0.11657359595385802,0.2990108196305576,4.0,5.0
129,FANToM,BeliefQ_Choice_First_Order,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.19480519480519481,0.3986477484460184,77,0.10576214545939462,0.283848244150995,5.0,5.0
146,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,3.0,3.0
147,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4025974025974026,0.49363688603701666,77,0.2923373201721453,0.5128574850226599,4.0,3.0
148,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,5.0,3.0
149,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.4025974025974026,0.4936368860370168,77,0.2923373201721453,0.5128574850226599,3.0,4.0
150,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.42857142857142855,0.4981167541368988,77,0.3173107105779649,0.5398321465648922,4.0,4.0
151,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.44155844155844154,0.4998290890396145,77,0.32991525176667125,0.5532016313502118,5.0,4.0
152,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.4155844155844156,0.4960541500218804,77,0.30478440647670474,0.5263844246921264,3.0,5.0
153,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.38961038961038963,0.4908597225878863,77,0.2799706219944,0.4992501572263793,4.0,5.0
154,FANToM,BeliefQ_Choice_First_Order,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.37662337662337664,0.487716511676745,77,0.26768568517702807,0.4855610680697252,5.0,5.0
160,FANToM,BeliefQ_Choice_First_Order,Mixed MoA W5 L5,MoA,Mixed,0.3246753246753247,0.47132395947782424,77,0.2193991184375142,0.42995153091313515,5.0,5.0
176,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.5,0.5099019513592785,26,0.30399999999999994,0.6960000000000001,3.0,3.0
177,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,4.0,3.0
178,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.38461538461538464,0.4961389383568338,26,0.19390571649446084,0.5753250527363084,5.0,3.0
179,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.46153846153846156,0.5083911274417939,26,0.2661192035557015,0.6569577195212216,3.0,4.0
180,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.4230769230769231,0.5038314736557788,26,0.2294103395832027,0.6167435065706435,4.0,4.0
181,FANToM,BeliefQ_Choice_Second_Order_Acyclic,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.4230769230769231,0.503831473655779,26,0.22941033958320264,0.6167435065706435,5.0,4.0
