dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R1 S3,MAD,<qLKSiki>,0.8430851063829787,0.36420514833115963,376,0.8062715114403906,0.8798987013255669
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R1 S5,MAD,<qLKSiki>,0.8457446808510638,0.3616745921934495,376,0.8091868727062735,0.8823024889958541
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R1 S7,MAD,<qLKSiki>,0.8563829787234043,0.3511682629967723,376,0.820887142791671,0.8918788146551376
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S3,MAD,<qLKSiki>,0.8218085106382979,0.3831837512656853,376,0.7830765721351938,0.8605404491414019
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S5,MAD,<qLKSiki>,0.851063829787234,0.3564999278843691,376,0.8150290729960867,0.8870985865783814
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R2 S7,MAD,<qLKSiki>,0.8377659574468085,0.3691566005703824,376,0.800451873266362,0.875080041627255
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S3,MAD,<qLKSiki>,0.8218085106382979,0.38318375126568516,376,0.7830765721351938,0.8605404491414019
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S5,MAD,<qLKSiki>,0.8537234042553191,0.35385415916369656,376,0.8179560798671484,0.8894907286434899
FANToM,AnswerabilityQs_Binary,<qLKSiki> MAD R3 S7,MAD,<qLKSiki>,0.8297872340425532,0.3763203705310088,376,0.7917490411371181,0.8678254269479883
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.5132978723404256,0.5004891224613456,376,0.46270879112647656,0.5638869535543746
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.4228723404255319,0.4946737588144071,376,0.37287107199435987,0.47287360885670393
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.40691489361702127,0.4919133291589641,376,0.3571926474338011,0.45663713980024145
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.7101063829787234,0.45431735088938524,376,0.6641843112900937,0.7560284546673531
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.5611702127659575,0.496905316551374,376,0.5109433800806937,0.6113970454512212
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.47074468085106386,0.4998084739560724,376,0.420224399099413,0.5212649626027147
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.6622340425531915,0.47357850008703006,376,0.6143650677306003,0.7101030173757827
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.5638297872340425,0.49656979397028145,376,0.5136368689304152,0.6140227055376699
FANToM,AnswerabilityQs_Binary,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.4654255319148936,0.4994678018715352,376,0.41493968505299067,0.5159113787767965
FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T1,Reflection,<qLKSiki>,0.8191489361702128,0.3854075856702857,376,0.7801922140819082,0.8581056582585174
FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T2,Reflection,<qLKSiki>,0.7659574468085106,0.4239630654326667,376,0.7231035645035172,0.8088113291135041
FANToM,AnswerabilityQs_Binary,<qLKSiki> Reflection T3,Reflection,<qLKSiki>,0.7925531914893617,0.40601855109069496,376,0.7515131278122865,0.8335932551664368
